@relation 'mini-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-3,5-13'

@attribute average_time_per_learning_session numeric
@attribute target {0,1}

@data
8.427187,0
72.646087,1
21.774492,1
42.659066,1
30.744287,1
34.034189,0
116.455949,1
67.821393,1
37.38421,1
18.696273,1
135.256834,0
117.134599,0
176.304779,1
75.285603,1
2.712124,0
79.121685,0
18.753933,0
36.722763,1
8.389999,1
5.838557,1
161.12484,0
128.598893,0
114.02308,1
77.623062,1
21.318411,1
14.931054,1
6.181276,1
280.552367,1
17.038368,1
3.781315,0
24.744909,1
25.319576,1
2.824487,1
16.623473,1
173.153471,1
41.718285,1
106.713288,1
50.144911,0
31.059454,1
3.882771,1
1.182343,1
53.384181,1
55.610654,1
210.626473,1
2.921134,0
18.663997,1
21.624834,0
9.640432,1
3.185703,0
65.277016,0
16.672401,1
117.806826,0
106.126439,1
6.696516,0
46.658703,1
183.470916,1
11.570615,1
62.678711,1
8.8816,1
8.886189,0
88.138987,0
33.484359,1
43.479845,1
1.710162,1
33.240395,1
62.832782,0
4.502375,1
39.85539,1
183.94293,1
73.127728,1
5.3396,1
83.409732,1
63.361839,1
39.879601,1
16.438727,1
17.682068,1
71.433676,0
25.31098,1
39.90413,1
97.23453,1
21.239569,1
44.420885,1
37.975449,1
5.263719,0
6.158799,0
12.149182,1
6.353139,0
32.344656,1
12.5475,0
91.899531,1
16.463849,1
101.803792,0
41.650003,0
20.627322,0
37.76364,1
14.356539,0
24.39499,1
16.784777,1
127.260695,1
0.215706,0
38.996819,1
37.146315,1
41.920552,1
1.810162,0
41.625566,1
19.053212,1
36.244055,1
11.014287,0
18.079415,0
19.314348,1
104.525675,1
20.623047,1
9.161234,1
20.459379,0
46.165358,1
45.210513,1
0.687711,0
55.125978,0
26.996907,0
180.267873,1
118.67661,0
31.840554,0
14.043347,1
59.202171,1
46.054412,1
16.368091,1
146.226814,1
90.860809,0
7.830157,1
185.660226,1
16.498795,0
108.057886,0
2.332847,1
113.644967,1
0.083314,1
21.824857,0
128.021867,1
74.660392,1
17.840971,0
86.725753,1
69.99619,1
14.461981,1
4.850878,0
49.824743,1
14.582878,0
30.85509,0
21.398931,0
53.700435,1
9.636096,1
171.684511,1
140.706442,1
62.306364,0
127.107168,0
101.290947,1
22.458535,1
8.320261,1
69.09248,1
0.305197,0
106.641149,1
80.316315,1
40.913154,0
19.02216,1
342.159705,1
43.364562,0
51.212499,1
63.667638,1
41.231592,1
25.167586,0
42.304822,1
18.155254,0
111.6579,1
92.871915,1
51.793778,1
88.925457,0
87.079781,1
160.099609,0
68.589054,1
54.548577,0
23.563247,1
198.467609,1
92.568253,1
119.873532,0
9.746375,0
84.288317,0
33.503648,1
53.185396,0
1.463171,1
94.664394,1
52.871917,0
123.504316,0
274.424184,1
46.869146,1
124.224975,1
82.456658,1
82.876062,0
4.079308,0
9.352149,1
30.015454,0
131.730792,1
36.737955,1
125.462866,1
38.724913,0
9.345023,0
11.732724,1
94.166298,0
8.706743,1
36.746797,0
20.183847,1
46.138205,1
51.434934,0
13.01004,1
0.41153,0
9.719435,1
