@relation 'mini-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9,11-13'

@attribute average_login_time numeric
@attribute average_time_per_learning_session numeric
@attribute abandoned_learning_sessions numeric
@attribute preferred_difficulty_level {Low,Medium,High}
@attribute target numeric

@data
14.946163,8.427187,3,Low,0
18.453224,72.646087,2,Medium,1
16.195228,21.774492,3,Medium,1
17.628656,42.659066,0,Low,1
21.390656,30.744287,2,Medium,1
17.274007,34.034189,2,High,0
10.629897,116.455949,0,Low,1
14.751713,67.821393,3,Low,1
12.624582,37.38421,4,High,1
10.545536,18.696273,5,Medium,1
13.953449,135.256834,0,High,0
18.474545,117.134599,6,Medium,0
15.392561,176.304779,4,High,1
12.744197,75.285603,6,High,1
10.303337,2.712124,4,Low,0
9.743147,79.121685,2,Low,0
12.355991,18.753933,1,High,0
18.187451,36.722763,3,High,1
18.519018,8.389999,3,Medium,1
14.571676,5.838557,1,Low,1
20.140176,161.12484,2,Low,0
14.625144,128.598893,0,Low,0
10.896852,114.02308,3,High,1
10.486532,77.623062,1,Medium,1
16.443162,21.318411,4,Low,1
20.364167,14.931054,1,High,1
13.839495,6.181276,3,Low,1
11.796445,280.552367,1,Low,1
16.725249,17.038368,2,Low,1
15.983985,3.781315,6,Medium,0
7.399941,24.744909,3,High,1
11.554146,25.319576,1,Low,1
23.3015,2.824487,5,Low,1
16.246144,16.623473,3,High,1
17.672267,173.153471,4,Medium,1
11.469877,41.718285,3,Low,1
12.084709,106.713288,4,Low,1
17.605663,50.144911,2,Medium,0
18.341918,31.059454,6,High,1
10.24755,3.882771,3,Low,1
16.139013,1.182343,1,High,1
15.420395,53.384181,1,Medium,1
15.682524,55.610654,1,Low,1
14.450352,210.626473,1,Low,1
18.289734,2.921134,5,High,0
15.279057,18.663997,1,High,1
13.750141,21.624834,3,Low,0
15.211998,9.640432,2,Medium,1
16.26087,3.185703,3,High,0
20.719766,65.277016,2,Low,0
16.236195,16.672401,3,Medium,1
